DEL.;COMPETICIÓN;CATEGORÍA;FASE;GRUPO;JORNADA;CLUB L.;EQ. LOCAL;PTS. L.;CLUB V.;EQ. VISITANTE;PTS. V.;FECHA;HORA;ESTADO;INFORME;CAMPO;DIRECCIÓN;POBLACIÓN;AFORO;VESTUARIOS;IDENTIFICADOR;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;1;EUROCOLEGIO CASVI;EUROCOLEGIO CASVI;;UROS DE RIVAS;UROS DE RIVAS;;28/09/2025;19:00;;;EUROCOLEGIO CASVI-VILLAVIC. ODON;AVDA. CASTILLA, 27;Villaviciosa de Odón;;;NAC-IMPAR-J01-EUROCOLEGIOCAS-UROSDERIVAS;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;1;C.D. TAJAMAR;C.D. TAJAMAR;;C.D.V.;C.D.V.;;28/09/2025;18:00;;;TAJAMAR, PABELLON COLEGIO;PIO FELIPE, 12;Madrid;;;NAC-IMPAR-J01-CDTAJAMAR-CDV;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;1;SALTIUM ALCORCÓN BASKET;SALTIUM ALCORCÓN BASKET;;ESTUDIO;ESTUDIO;;27/09/2025;20:00;;;LA CANALEJA, PABELLON PISTA;CENTRAL AVENIDA CIRCUNVALACION NORTE, 1;Alcorcón;;;NAC-IMPAR-J01-SALTIUMALCORCO-ESTUDIO;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;1;SAN VIATOR;SAN VIATOR;;C.B. LAS ROZAS;C.B. LAS ROZAS;;27/09/2025;17:00;;;PEPE DOMAICA, PABELLON;PLAZA ELIPTICA, 2;Madrid;;;NAC-IMPAR-J01-SANVIATOR-CBLASROZAS;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;1;C.B. GETAFE;C.B. GETAFE;;BASKET TORREJON;BASKET TORREJON;;28/09/2025;17:00;;;FELIPE REYES, PABELLON PISTA;CENTRAL AV. ESPAÑA, 90;Getafe;;;NAC-IMPAR-J01-CBGETAFE-BASKETTORREJON;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;1;ESCUELA BARRIO DEL PILAR;ESCUELA BARRIO DEL PILAR;;LASO ACADEMY;LASO ACADEMY;;28/09/2025;19:00;;;VICENTE DEL BOSQUE, CDM;(PABELLON) AVDA. MONFORTE DE LEMOS, 13;Madrid;;;NAC-IMPAR-J01-ESCUELABARRIOD-LASOACADEMY;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;2;LASO ACADEMY;LASO ACADEMY;;EUROCOLEGIO CASVI;EUROCOLEGIO CASVI;;04/10/2025;19:00;;;UCJC SPORTS CLUB;CASTILLO DE ALARCON, 47 URB. VILLAFRANCA DEL CASTILLO;Madrid;;;NAC-IMPAR-J02-LASOACADEMY-EUROCOLEGIOCAS;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;2;BASKET TORREJON;BASKET TORREJON;;ESCUELA BARRIO DEL PILAR;ESCUELA BARRIO DEL PILAR;;04/10/2025;19:30;;;JAVI LIMONES, PABELLON (PISTA;CENTRAL) JOAQUIN BLUME, S/N;Torrejón de Ardoz;;;NAC-IMPAR-J02-BASKETTORREJON-ESCUELABARRIOD;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;2;C.B. LAS ROZAS;C.B. LAS ROZAS;;C.B. GETAFE;C.B. GETAFE;;04/10/2025;19:30;;;ALFREDO ESPINIELLA, PABELLON (PISTA;CENTRAL) COMUNIDAD DE LA RIOJA, 4;Rozas de Madrid, Las;;;NAC-IMPAR-J02-CBLASROZAS-CBGETAFE;
;COMPETICIONES FEDERADAS FBM;Liga VIPS Masculina;PRIMERA FASE;GRUPO IMPAR;2;ESTUDIO;ESTUDIO;;SAN VIATOR;SAN VIATOR;;04/10/2025;20:00;;;PACO HERNANDEZ, PABELLON;VALDELINARES, 7;Madrid;;;NAC-IMPAR-J02-ESTUDIO-SANVIATOR;
