DEL.;COMPETICIÓN;CATEGORÍA;FASE;GRUPO;JORNADA;CLUB L.;EQ. LOCAL;PTS. L.;CLUB V.;EQ. VISITANTE;PTS. V.;FECHA;HORA;ESTADO;INFORME;CAMPO;DIRECCIÓN;POBLACIÓN;AFORO;VESTUARIOS;IDENTIFICADOR;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;16;MADRID SIERRA C.D.E.;BECERRIL DE LA SIERRA;1;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;1;08/08/1928;00:00;Terminado;NO;SOLOSPRADOS, PDVO. MPAL.;SOLOSPRADOS, S/N;Becerril de la Sierra;0;NO;313526;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;1;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;27;VERITAS POZUELO C.D.E.;VERITAS POZUELO;86;21/09/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;314291;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;1;BALONCESTO ARGANDA;CB ARGANDA A;95;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;34;21/09/2025;11:30;Terminado;SÍ;VIRGEN DEL CARMEN, PABELLON (PISTA CENTRAL);MALLORCA, S/N;Arganda del Rey;0;NO;313437;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;2;PERALES DEL RIO C.B.;C.B. PERALES B;89;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;46;27/09/2025;11:00;Terminado;NO;PERALES DEL RIO, PABELLON DEPORTIVO;GROENLANDIA, 8;Perales del Rio;0;NO;314301;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;2;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;42;MARIANISTAS AMOROS A.R.C.;MARIANISTAS AMOROS;30;28/09/2025;09:15;Terminado;SÍ;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;313438;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 3;1;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;66;VILLA DE VALDEMORO C.B.;C.B. VILLA DE VALDEMORO  "D";36;04/10/2025;09:15;Terminado;NO;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;319916;
FBM;COMPETICIONES FEDERADAS FBM;Cadete Masc. Pref.;PRIMERA 3ª DIVISION;GRUPO 3;1;HUMANES CLUB BASKET;HUMANES C.B.;56;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;68;04/10/2025;13:30;Terminado;SÍ;CAMPOHERMOSO, PABELLON;VALDEHONDILLO, 3;Humanes de Madrid;0;NO;319227;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 2ª DIVISION;GRUPO 4;3;VALLEKAS BASKET CDE;VALLEKAS BASKET NARANJA;53;MADRID VILLA DE VALLECAS;MADRID VILLA DE VALLECAS AZUL;67;05/10/2025;09:15;Terminado;SÍ;ZAZUAR, COLEGIO;ZAZUAR, 17;Madrid;0;NO;313449;
FBM;COMPETICIONES FEDERADAS FBM;Sub 22 Masc. PLATA;PRIMERA FASE;GRUPO 3;1;VALLEKAS BASKET CDE;VALLEKAS BASKET;51;PERALES DEL RIO C.B.;C.B. PERALES;64;05/10/2025;17:00;Terminado;NO;WILFRED AGBONAVBARE, PABELLON;C/ REGUERA DE TOMATEROS, 39;Madrid;0;NO;325541;
FBM;COMPETICIONES FEDERADAS FBM;Junior Masc. Pref.;PRIMERA 4ª DIVISION;GRUPO 1;3;ARROYOMOLINOS C.D.E.B.;ARROYOMOLINOS C.B. "B";57;VALLEKAS BASKET CDE;VALLEKAS BASKET AZUL;45;05/10/2025;18:15;Terminado;SÍ;LOS MOSQUITOS, PABELLON;SANTANDER, 110;Arroyomolinos;0;NO;314302;
